Permit #,query,status,matched_address,lat,lon
100580,1150 PASSAGE MOUND WAY,Match,"1150 PASSAGE MOUND WAY, LEXINGTON, KY, 40509",38.00556984231,-84.399921407593
100240,909 SUMMERVILLE DR,Match,"909 SUMMERVILLE DR, LEXINGTON, KY, 40504",38.043007292041,-84.534226893162
100340,370 CODELL DR,Match,"370 CODELL DR, LEXINGTON, KY, 40509",38.0189481592,-84.452701684077
100341,375 THOMPSON RD,Match,"375 THOMPSON RD, LEXINGTON, KY, 40508",38.057315809651,-84.518218409066
100484,125 E REYNOLDS RD 110,Match,"125 E REYNOLDS RD, LEXINGTON, KY, 40517",37.990864245124,-84.522545059326
100682,304 SOUTHLAND DR,Match,"304 SOUTHLAND DR, LEXINGTON, KY, 40503",38.015864957369,-84.523921817647
100537,1474 ANNISTON DR A1,Match,"1474 ANNISTON DR, LEXINGTON, KY, 40505",38.056834584225,-84.438261020188
100516,"1474 ANNISTON DRIVE, A1",Match,"1474 ANNISTON DR, LEXINGTON, KY, 40505",38.056834584225,-84.438261020188
100419,242 LOCUST FARM RD,Match,"242 LOCUST FARM RD, LEXINGTON, KY, 40511",38.10584257956,-84.572087988741
100255,468 SQUIRES RD,Match,"468 SQUIRES RD, LEXINGTON, KY, 40515",37.991089798024,-84.448388596801
100695,725 NATIONAL AVE,Match,"725 NATIONAL AVE, LEXINGTON, KY, 40502",38.040817522872,-84.479472454545
100038,1364 DEVONPORT DR,Match,"1364 DEVONPORT DR, LEXINGTON, KY, 40504",38.048815300407,-84.553519082187
100138,685 WILSON DOWNING RD,Match,"685 WILSON DOWNING RD, LEXINGTON, KY, 40517",37.974126993241,-84.498959032907
100139,3805 BROOKDALE CIRCLE,Match,"3805 BROOKDALE CIR, LEXINGTON, KY, 40514",37.97341943213,-84.550663627982
100514,214 RUGBY RD,Match,"214 RUGBY RD, LEXINGTON, KY, 40504",38.053898113995,-84.539979459114
100756,1555 E. NEW CIRCLE RD,Match,"1555 E NEW CIRCLE RD, LEXINGTON, KY, 40509",38.018893877591,-84.455940323671
100471,111 AVE. OF CHAMPIONS,Match,"111 AVE OF CHAMPIONS, LEXINGTON, KY, 40506",38.041392904373,-84.503605956658
100472,680 ROSE ST,Match,"680 ROSE ST, LEXINGTON, KY, 40506",38.03388677853,-84.505294476054
100702,1806 MARLBORO DRIVE,Match,"1806 MARLBORO DR, LEXINGTON, KY, 40505",38.079642216245,-84.464771332662
100746,350 N LIMESTONE,Match,"350 N LIMESTONE ST, LEXINGTON, KY, 40508",38.050250705514,-84.491442797355
100626,130 W TIVERTON WAY,Match,"130 W TIVERTON WAY, LEXINGTON, KY, 40503",37.980929410968,-84.53096306968
100703,804 N LIMESTONE,Match,"804 N LIMESTONE ST, LEXINGTON, KY, 40505",38.057434887895,-84.48122443503
100769,316 LUCILLE DR,Match,"316 LUCILLE DR, LEXINGTON, KY, 40511",38.090534318642,-84.545040469752
100627,3735 PALOMAR CENTRE DR,Match,"3735 PALOMAR CENTRE DR, LEXINGTON, KY, 40513",38.003459531439,-84.571166851002
100342,200 LEXINGTON GREEN CIRCLE,Match,"200 LEXINGTON GREEN CIR, LEXINGTON, KY, 40503",37.994140842372,-84.526595879393
100485,125 E REYNOLDS RD,Match,"125 E REYNOLDS RD, LEXINGTON, KY, 40517",37.990864245124,-84.522545059326
100683,50 IMPERIAL AVE,Match,"50 IMPERIAL AVE, LEXINGTON, KY, 40511",38.072081422081,-84.499307812938
100046,397 WALLER AVE.,Match,"397 WALLER AVE, LEXINGTON, KY, 40504",38.031380425915,-84.520780086525
100047,3297 NICHOLASVILLE RD,Match,"3297 NICHOLASVILLE RD, LEXINGTON, KY, 40503",37.991146884471,-84.523868497759
100245,300 E. REYNOLDS RD,Match,"300 W REYNOLDS RD, LEXINGTON, KY, 40503",37.993325914712,-84.530403067023
100048,867 S BROADWAY,Match,"867 S BROADWAY RD, LEXINGTON, KY, 40504",38.039814789729,-84.513786405666
100466,550 S. LIMESTONE,Match,"550 S LIMESTONE ST, LEXINGTON, KY, 40508",38.039043200504,-84.506682258961
100587,2441 HUNTLY,Match,"2441 HUNTLY PL, LEXINGTON, KY, 40511",38.102005173868,-84.512435416398
100467,111 AVE OF CHAMPIONS,Match,"111 AVE OF CHAMPIONS, LEXINGTON, KY, 40506",38.041392904373,-84.503605956658
100325,1400 DELAWARE AVE,Match,"1400 DELAWARE AVE, LEXINGTON, KY, 40505",38.037484912314,-84.469023955201
100468,1540 UNIVERSITY DR,Match,"1540 UNIVERSITY CT, LEXINGTON, KY, 40503",38.020735764383,-84.509953367431
100326,104 W SIXTH ST,Match,"104 W 6TH ST, LEXINGTON, KY, 40508",38.054017145418,-84.486618642931
100469,335 S. MLKING BLVD,Match,"335 S MARTIN LUTHER KING BLVD, LEXINGTON, KY, 40506",38.040769949048,-84.501683712696
116927,561 SOUTH BROADWAY,Match,"561 S BROADWAY RD, LEXINGTON, KY, 40508",38.044863486384,-84.505781831025
109398,2201 SWEETLEAF CT,Match,"2201 SWEETLEAF CT, LEXINGTON, KY, 40513",38.008669011324,-84.578165473933
109399,2321 SIR BARTON WAY,Match,"2321 SIR BARTON WAY, LEXINGTON, KY, 40509",38.02530875979,-84.423046767955
109395,1322 STEPHEN FOSTER,Match,"1322 STEPHEN FOSTER DR, LEXINGTON, KY, 40517",37.9761095578,-84.481851198731
109396,1414 N. FORBES RD,Match,"1414 N FORBES RD, LEXINGTON, KY, 40511",38.066186842978,-84.519745576357
109397,808 SHELBY AVE,Match,"808 SHELBY AVE, LEXINGTON, KY, 40505",38.044044211767,-84.468840190669
115833,408 CHESTNUT ST,Match,"408 CHESTNUT ST, LEXINGTON, KY, 40508",38.046565254447,-84.485303472778
109392,3111 SPURR,Match,"3111 SPURR RD, LEXINGTON, KY, 40511",38.110386187212,-84.539764211305
102518,3256 LANSDOWNE DRIVE,Match,"3256 LANSDOWNE DR, LEXINGTON, KY, 40502",37.998737175117,-84.498218862208
102519,1496 LEESTOWN RD.,Match,"1496 LEESTOWN RD, LEXINGTON, KY, 40511",38.065587096853,-84.523454692632
101421,171 LEESTOWN CENTER WAY,Match,"171 LEESTOWN CENTER WAY, LEXINGTON, KY, 40511",38.068468174242,-84.534927109618
110153,720 FAULKHER,Match,"720 FAULKNER AVE, LEXINGTON, KY, 40505",38.092725639091,-84.45183567054
113661,2296 EXECUTIVE DR,Match,"2296 EXECUTIVE DR, LEXINGTON, KY, 40505",38.042213169847,-84.428479856539
103601,1419 VERSAILLES RD,Match,"1419 VERSAILLES RD, LEXINGTON, KY, 40504",38.049468115848,-84.527226966676
110151,1500 FITZGERALD,Match,"1500 FITZGERALD CT, LEXINGTON, KY, 40509",38.024634970528,-84.411572516455
103603,220 RUCCIO WAY,Match,"220 RUCCIO WAY, LEXINGTON, KY, 40503",37.996720047388,-84.530215839531
103844,3100 PIMLICO PKWY,Match,"3100 PIMLICO PKWY, LEXINGTON, KY, 40517",37.985709006158,-84.459738014223
103847,401 REED LANE,Match,"401 REED LN, LEXINGTON, KY, 40503",38.025062324858,-84.525333842496
116919,111 AVENUE OF CHAMPIONS,Match,"111 AVE OF CHAMPIONS, LEXINGTON, KY, 40506",38.041392904373,-84.503605956658
113887,1553 CHADWICH DR.,Match,"1553 CHADWICK DR, LEXINGTON, KY, 40515",37.973022582374,-84.466770542791
116913,101 LOUDON AVE,Match,"101 W LOUDON AVE, LEXINGTON, KY, 40508",38.057365606284,-84.481536626574
113409,1060 CHINOE RD.,Match,"1060 CHINOE RD, LEXINGTON, KY, 40502",37.997769521367,-84.48071491237
114981,206 W. MAIN STREET,Match,"206 W MAIN ST, LEXINGTON, KY, 40507",38.047233868361,-84.498075757768
112304,904 LIBERTY RD,Match,"904 LIBERTY RD, LEXINGTON, KY, 40505",38.041637841306,-84.469880874465
111211,3116 RICHMOND ROAD,Match,"3116 RICHMOND RD, LEXINGTON, KY, 40509",38.002668070181,-84.447693106162
107190,1170 MANCHESTER ST.,Match,"1170 MANCHESTER ST, LEXINGTON, KY, 40508",38.055061393962,-84.515217882983
114965,1388 ALEXANDRA DR 5-6,Match,"1388 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.049258072265,-84.552217236359
116902,2050 VERSAILLES RD.,Match,"2050 VERSAILLES RD, LEXINGTON, KY, 40504",38.04755635786,-84.54215829836
114968,3090 HELMSDALE PLACE PL.,Match,"3090 HELMSDALE PL, LEXINGTON, KY, 40509",38.012333175486,-84.420828362787
116903,1740 NICHOLASVILLE RD.,Match,"1740 NICHOLASVILLE RD, LEXINGTON, KY, 40503",38.019099370202,-84.51375591061
101406,3146 MAPLE LEAF DR,Match,"3146 MAPLELEAF DR, LEXINGTON, KY, 40509",38.006172563863,-84.424977068991
103827,170 N EAGLE CREEK,Match,"170 N EAGLE CREEK DR, LEXINGTON, KY, 40509",38.000526246126,-84.439945909419
118092,2887 RICHMOND ROAD,Match,"2887 RICHMOND SRD, LEXINGTON, KY, 40509",38.006481108037,-84.450022662205
101889,2100 FONTAINE RD,Match,"2100 FONTAINE RD, LEXINGTON, KY, 40502",38.017317123837,-84.469170471137
119185,400 WEST MAIN STREET,Match,"400 W MAIN ST, LEXINGTON, KY, 40507",38.048937846458,-84.49996868416
111445,101 W. LOUDON AVE,Match,"101 W LOUDON AVE, LEXINGTON, KY, 40508",38.057365606284,-84.481536626574
110111,814 EUCLID AVE,Match,"814 EUCLID AVE, LEXINGTON, KY, 40502",38.030071290954,-84.491165903827
112772,271 W. SHORT ST,Match,"271 W SHORT ST, LEXINGTON, KY, 40507",38.048392519547,-84.497842777761
113861,2905 TUSCALOOSA LN,Match,"2905 TUSCALOOSA LN, LEXINGTON, KY, 40515",37.992195006184,-84.450221903981
114710,1335 S. BRODWAY,Match,"1335 S BROADWAY RD, LEXINGTON, KY, 40504",38.034069861056,-84.523163271229
114953,402 FAIRDALE DR.,Match,"402 FAIRDALE DR, LEXINGTON, KY, 40511",38.070570023577,-84.514872773055
111279,1889 LOST TRAIL LANE,Match,"1889 LOST TRAIL LN, LEXINGTON, KY, 40511",38.086540081685,-84.50560383718
110187,471 JEFFERSON ST,Match,"471 JEFFERSON ST, LEXINGTON, KY, 40508",38.057536528844,-84.49520613567
103893,3449 BUCKHORN DR,Match,"3449 BUCKHORN DR, LEXINGTON, KY, 40515",37.976215395979,-84.458462435351
116964,1765 ALEXANDRIA DR.,Match,"1765 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.038982299652,-84.552606961387
117810,1768 ALEXANDRIA DR,Match,"1768 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.038769088528,-84.552245918021
