Permit #,Establishment Name,Address,Date,Inspection Type,Food or Retail,Score,Violations,ScrapeDate,Page,Table,SourceFile,Category,Violation Code,Violation Explanation
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2024-08-23,REGULAR,FOOD,97.0,37,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Food Temperature Control,37,Thermometers provided and accurate
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2024-08-23,REGULAR,FOOD,97.0,55,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,55,Garbage/refuse properly disposed; facilities maintained
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2024-08-23,REGULAR,FOOD,97.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2025-02-21,REGULAR,FOOD,93.0,15,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Protection from Contamination,15,Food separated and protected
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2025-02-21,REGULAR,FOOD,93.0,39,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,39,"Contamination prevented during food preparation, storage and display"
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2025-02-21,REGULAR,FOOD,93.0,41,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,41,Wiping cloths: properly used and stored
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2025-02-21,REGULAR,FOOD,93.0,48,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used"
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2025-02-21,REGULAR,FOOD,93.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
122646,2 FISTED WILLIE'S,388 WOODLAND AVE,2024-09-06,REGULAR,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
122646,2 FISTED WILLIE'S,388 WOODLAND AVE,2025-03-07,REGULAR,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
